Name,Status,District,Population Census 1991-03-01,Population Census 2001-03-01,Population Census 2011-03-01,query,lat,lon
Abiramam,Town Panchayat,Ramanathapuram,...,"6,638","8,144","Abiramam, Ramanathapuram, Tamil Nadu, India",9.4420721,78.4396376
Acharapakkam,Town Panchayat,Kanchipuram,...,"9,023","10,362","Acharapakkam, Kanchipuram, Tamil Nadu, India",12.5518808,79.7696115
Agaram,Town Panchayat,Dindigul,...,"12,784","15,610","Agaram, Dindigul, Tamil Nadu, India",10.4553491,77.9237356
Agastheeswaram,Town Panchayat,Kanniyakumari,...,"8,995","9,717","Agastheeswaram, Kanniyakumari, Tamil Nadu, India",8.1547817,77.4585065
Alamathi,Census Town,Thiruvallur,...,"5,812","7,424","Alamathi, Thiruvallur, Tamil Nadu, India",13.2114346,80.1135542
Alamelumangapuram,Census Town,Vellore,...,"5,368","7,900","Alamelumangapuram, Vellore, Tamil Nadu, India",12.94454,79.189664
Alampalayam,Town Panchayat,Namakkal,...,"15,255","20,286","Alampalayam, Namakkal, Tamil Nadu, India",11.5322199,78.1120175
Alanganallur,Town Panchayat,Madurai,...,"11,078","12,331","Alanganallur, Madurai, Tamil Nadu, India",10.0463572,78.0878055
Alangayam,Town Panchayat,Vellore,...,"16,851","18,327","Alangayam, Vellore, Tamil Nadu, India",12.6326913,78.8077313
Alangudi,Town Panchayat,Pudukkottai,"10,882","10,761","12,367","Alangudi, Pudukkottai, Tamil Nadu, India",10.3603703,78.9778724
Alangulam,Census Town,Virudhunagar,...,"4,969","4,930","Alangulam, Virudhunagar, Tamil Nadu, India",9.3643985,77.6764891
Alangulam,Town Panchayat,Tirunelveli,...,"17,923","20,948","Alangulam, Tirunelveli, Tamil Nadu, India",8.7116971,77.4566251
Alanthurai,Town Panchayat,Coimbatore,...,"7,130","7,221","Alanthurai, Coimbatore, Tamil Nadu, India",10.9541167,76.7905294
Alapakkam,Census Town,Kanchipuram,...,"5,015","9,404","Alapakkam, Kanchipuram, Tamil Nadu, India",12.6822387,79.9060182
